Consultant ID,Lv8,Lv7,Lv6,Lv5,Lv4,Scotland,London,North England
242,0,0,0,1,0,0,0,1
243,0,0,1,0,0,0,1,0
244,0,1,0,0,0,1,0,0
245,0,1,0,0,0,0,1,0
246,0,0,0,1,0,0,0,1
247,1,0,0,0,0,0,0,1
248,0,0,1,0,0,0,0,1
249,0,0,0,1,0,1,0,0
250,0,0,0,0,1,0,1,0
251,0,1,0,0,0,0,1,0
252,0,0,0,0,1,1,0,0
253,0,0,0,0,1,0,0,1
254,0,0,1,0,0,0,1,0
255,0,0,1,0,0,0,0,1
256,0,1,0,0,0,0,1,0
257,0,0,1,0,0,0,0,1
258,0,1,0,0,0,1,0,0
259,0,0,1,0,0,0,0,1
260,1,0,0,0,0,0,0,1
261,0,0,0,0,1,1,0,0
262,0,1,0,0,0,0,1,0
263,0,0,1,0,0,0,0,1
264,0,0,0,1,0,0,1,0
265,0,0,0,1,0,1,0,0
266,0,0,1,0,0,0,1,0
267,1,0,0,0,0,0,1,0
268,0,0,0,1,0,0,1,0
269,0,0,1,0,0,0,1,0
270,0,1,0,0,0,0,0,1
271,0,0,1,0,0,0,0,1
272,0,0,1,0,0,0,1,0
273,0,0,0,0,1,0,1,0
274,0,0,0,0,1,1,0,0
275,0,0,0,1,0,1,0,0
276,1,0,0,0,0,0,1,0
277,0,1,0,0,0,0,0,1
278,0,0,1,0,0,0,0,1
279,0,0,1,0,0,0,0,1
280,0,0,1,0,0,0,0,1
281,0,1,0,0,0,1,0,0
282,0,0,0,1,0,0,1,0
283,0,0,1,0,0,0,0,1
284,0,1,0,0,0,1,0,0
285,0,0,0,1,0,0,1,0
286,0,0,0,1,0,0,1,0
287,0,0,1,0,0,0,0,1
288,0,0,1,0,0,0,0,1
289,0,0,0,0,1,0,1,0
290,0,1,0,0,0,0,1,0
291,0,0,1,0,0,0,0,1
292,0,0,1,0,0,0,0,1
293,0,0,1,0,0,1,0,0
294,0,0,1,0,0,0,0,1
295,0,1,0,0,0,0,1,0
296,0,1,0,0,0,0,1,0
297,1,0,0,0,0,0,1,0
298,1,0,0,0,0,1,0,0
299,0,0,1,0,0,0,1,0
300,0,0,1,0,0,1,0,0
301,0,1,0,0,0,0,1,0
302,0,0,1,0,0,0,0,1
303,0,1,0,0,0,0,0,1
304,0,0,1,0,0,0,1,0
305,0,0,0,0,1,1,0,0
306,0,0,1,0,0,0,0,1
307,0,1,0,0,0,1,0,0
308,0,0,0,1,0,0,1,0
309,0,1,0,0,0,0,0,1
310,0,0,0,1,0,0,1,0
311,0,1,0,0,0,0,1,0
312,0,0,0,1,0,0,1,0
313,0,1,0,0,0,0,0,1
314,0,0,0,1,0,0,0,1
315,0,0,0,0,1,1,0,0
316,0,0,0,0,1,0,0,1
317,0,0,0,1,0,0,1,0
318,0,0,0,1,0,0,0,1
319,0,0,1,0,0,0,1,0
320,0,0,1,0,0,1,0,0
321,0,0,1,0,0,0,1,0
322,0,0,0,1,0,0,0,1
323,0,1,0,0,0,0,0,1
324,0,1,0,0,0,0,0,1
325,0,0,1,0,0,0,0,1
326,0,0,1,0,0,0,0,1
327,0,0,1,0,0,0,0,1
328,0,0,1,0,0,0,1,0
329,0,0,1,0,0,0,0,1
330,0,0,1,0,0,0,0,1
331,0,1,0,0,0,0,0,1
332,0,0,0,1,0,0,1,0
333,0,0,0,1,0,0,1,0
334,0,0,0,0,1,0,1,0
335,0,0,0,1,0,0,0,1
336,0,0,0,0,1,0,0,1
337,0,0,0,1,0,1,0,0
338,0,1,0,0,0,0,1,0
339,0,0,0,0,1,0,1,0
340,0,0,1,0,0,0,0,1
341,0,1,0,0,0,0,0,1
342,0,0,1,0,0,0,0,1
343,0,0,1,0,0,0,0,1
344,0,0,0,1,0,0,1,0
345,0,0,0,1,0,0,1,0
346,0,0,1,0,0,1,0,0
347,0,0,0,0,1,0,0,1
348,0,0,1,0,0,0,0,1
349,0,0,1,0,0,1,0,0
350,0,0,1,0,0,0,0,1
351,0,1,0,0,0,0,0,1
352,0,0,1,0,0,0,0,1
353,0,0,1,0,0,0,1,0
354,0,0,1,0,0,0,0,1
355,1,0,0,0,0,1,0,0
356,0,1,0,0,0,0,0,1
357,0,1,0,0,0,1,0,0
358,0,1,0,0,0,0,0,1
359,0,0,0,1,0,0,1,0
360,0,0,1,0,0,1,0,0
361,1,0,0,0,0,0,0,1
362,0,0,0,1,0,0,0,1
363,0,0,0,0,1,0,0,1
364,0,1,0,0,0,0,1,0
365,0,1,0,0,0,0,1,0
366,0,0,1,0,0,1,0,0
367,0,0,1,0,0,1,0,0
368,0,0,1,0,0,0,0,1
369,0,0,1,0,0,0,0,1
370,0,0,0,1,0,0,0,1
371,0,0,0,1,0,0,0,1
372,0,0,0,1,0,1,0,0
373,1,0,0,0,0,1,0,0
374,0,0,0,1,0,0,0,1
375,0,0,1,0,0,1,0,0
376,0,0,1,0,0,1,0,0
377,0,0,1,0,0,0,1,0
378,0,0,0,1,0,0,0,1
379,0,1,0,0,0,0,0,1
380,1,0,0,0,0,0,1,0
381,0,0,1,0,0,1,0,0
382,0,0,0,1,0,0,0,1
383,0,0,1,0,0,0,0,1
384,0,0,1,0,0,0,1,0
385,0,0,1,0,0,0,0,1
386,0,0,0,0,1,0,1,0
387,0,1,0,0,0,0,1,0
388,0,0,1,0,0,0,1,0
389,0,1,0,0,0,1,0,0
390,0,1,0,0,0,0,0,1
391,0,1,0,0,0,0,0,1
392,0,1,0,0,0,1,0,0
393,0,0,1,0,0,0,1,0
394,0,0,1,0,0,0,1,0
395,0,1,0,0,0,0,1,0
396,0,0,0,1,0,0,1,0
397,0,0,1,0,0,0,0,1
398,0,1,0,0,0,0,1,0
399,1,0,0,0,0,0,0,1
400,0,0,1,0,0,0,0,1
